symbol,price
AAPL,271.05
AAPU,33.355000000000004
ABNB,132.41500000000002
ABNY,45.99
AI,13.735
AIYY,17.46
ALAB,179.765
AMD,223.73
AMUU,59.459999999999994
AMZN,226.63
AMZU,33.64
AMZW,41.605000000000004
AMZY,13.055
APLY,13.32
APP,619.6600000000001
APPX,29.759999999999998
ARM,114.96000000000001
ARMW,28.595
ASMG,26.5
ASML,1163.325
ASTS,83.245
ASTX,52.515
BABA,156.15
BABO,13.68
BITX,29.455
BKNG,5311.495
BKNU,21.22
BLSH,39.45
BLSX,12.375
BRK-B,496.94
BRKC,45.0
BRKU,24.53
BTCL,30.755
CEG,366.23
CEGX,29.905
CMG,37.445
CMGG,20.75
COIG,15.895
COIN,236.53
COIW,20.91
CONY,40.3
CRM,254.08
CRMG,12.515
CRWV,79.67
CSCL,29.43
CSCO,76.125
CWVX,26.75
DKNG,35.665
DKUP,13.120000000000001
DRAY,32.1
ELIL,28.515
ETHA,23.715
ETHU,60.97
ETU,16.35
FBY,12.45
GGLL,98.14
GLXU,12.7
GLXY,24.695
GOOGL,315.01
GOOX,70.45
GOOY,14.58
GXRP,140.425
HOOD,115.525
HOOW,48.955
HOOY,47.75
IBIT,51.11
IREG,20.875
IREN,42.894999999999996
JEPI,57.35
JEPQ,58.11
LABX,17.66
LLY,1079.325
LMT,496.475
LMTL,31.490000000000002
MARA,9.915
MARO,7.885
META,649.65
METU,31.130000000000003
METW,35.1
MSFO,15.21
MSFT,472.77
MSFU,39.665
MSFW,38.545
MSFX,26.125
MSTR,158.14999999999998
MSTU,8.985
MSTW,10.3
MSTX,4.135
MSTY,30.205
MU,317.56
MUU,123.52000000000001
NFLU,30.535
NFLW,26.494999999999997
NFLX,91.03999999999999
NFLY,11.645
NFXL,28.875
NVDA,188.7
NVDG,17.240000000000002
NVDO,18.82
NVDU,120.345
NVDY,14.635000000000002
OPEG,10.93
OPEN,6.085
PALU,17.085
PANG,10.524999999999999
PANW,179.925
PLTR,169.28
PLTU,66.47999999999999
PLTW,35.235
PYPL,58.25
PYPY,41.235
QCMU,27.39
QCOM,172.85
QQQ,613.175
QQQX,28.64
QYLD,17.685000000000002
QYLG,27.375
RBLX,80.875
RBLY,29.155
RDDT,242.5
RDYY,38.31
SNOW,217.025
SNOY,12.085
SPY,683.06
SPYI,52.675
TEM,62.555
TEMT,12.74
TSLA,439.91999999999996
TSLL,18.275
TSLO,20.21
TSLT,25.535
TSLW,32.825
TSLY,36.5
TSM,319.85
TSMY,16.05
UNH,337.135
UNHG,17.439999999999998
UPST,45.965
UPSX,54.535
XOM,122.66499999999999
XOMX,30.020000000000003
XXRP,11.524999999999999
XYLD,40.67
XYLG,27.535
XYZ,64.995
XYZY,32.980000000000004
