Underlying,ETF,Leverage
AAL,AALG,2.0
AAPL,AAPU,2.0
AAPL,APLY,1.0
ABNB,ABNG,2.0
ABNB,ABNY,1.0
ADBE,ADBG,2.0
AI,AIYY,1.0
AMD,AMDY,1.0
AMD,AMUU,2.0
AMZN,AMZU,2.0
AMZN,AMZY,1.0
ARM,ARMG,2.0
ASML,ASMG,2.0
AVGO,AVL,2.0
BA,BOEU,2.0
BABA,BABO,1.0
BBAI,BAIG,2.0
BE,BEG,2.0
BIDU,BIDG,2.0
BLSH,BLSG,2.0
BMNR,BMNG,2.0
BRK-B,BRKC,1.0
BRK-B,BRKU,2.0
BULL,BULU,2.0
CIFR,CIFG,2.0
CMG,CMGG,2.0
CNC,CNCG,2.0
COIN,COIG,2.0
COIN,COIO,2.0
COIN,CONY,1.0
COST,COTG,2.0
CRCL,CRCG,2.0
CRCL,CRCO,1.0
CRM,CRMG,2.0
CRWV,CRWG,2.0
CSCO,CSCL,2.0
CVNA,CVNY,1.0
DIS,DISO,1.0
DKNG,DRAY,1.0
DUOL,DUOG,2.0
ETHA,ETHU,2.0
F,FRDU,2.0
FIG,FIGG,2.0
FUTU,FUTG,2.0
GEMI,GEMG,2.0
GEV,GEVG,2.0
GLXY,GLGG,2.0
GME,GMEU,2.0
GME,GMEY,1.0
GOOGL,GGLL,2.0
GOOGL,GOOY,1.0
GRAB,GRAG,2.0
HIMS,HIYY,1.0
HOOD,HOOG,2.0
HOOD,HOOY,1.0
IBIT,BITX,2.0
IREN,IREG,2.0
IWM,RYLD,1.0
JPM,JPMO,1.0
KLAC,KLAG,2.0
LAC,LACG,2.0
LLY,ELIL,2.0
LMT,LMTL,2.0
LULU,LULG,2.0
MARA,MARO,1.0
META,FBY,1.0
META,METU,2.0
MP,MPG,2.0
MRNA,MRNY,1.0
MSFT,MSFO,1.0
MSFT,MSFU,2.0
MSTR,MSOO,2.0
MSTR,MSTX,2.0
MSTR,MSTY,1.0
MU,MUU,2.0
NBIS,NBIG,2.0
NEM,NEMG,2.0
NET,NETG,2.0
NFLX,NFLY,1.0
NFLX,NFXL,2.0
NIO,NIOG,2.0
NU,NUG,2.0
NVDA,NVDO,2.0
NVDA,NVDU,2.0
NVDA,NVDY,1.0
OKTA,OKTG,2.0
OPEN,OPEG,2.0
OSCR,OSCG,2.0
PANW,PALU,2.0
PBR,PBRG,2.0
PLTR,PLOO,2.0
PLTR,PLTU,2.0
PLTR,PLTY,1.0
PYPL,PYPG,2.0
PYPL,PYPY,1.0
QCOM,QCMU,2.0
QQQ,JEPQ,1.0
QQQ,QQQX,1.0
QQQ,QYLD,1.0
QQQ,QYLG,1.0
RBLX,RBLY,1.0
RDDT,RDYY,1.0
RTX,RTXG,2.0
SATS,SATG,2.0
SBUX,SBU,2.0
SHOP,SHPU,2.0
SMCI,SMCY,1.0
SNAP,SNAG,2.0
SNOW,SNOY,1.0
SPOT,SPOG,2.0
SPY,JEPI,1.0
SPY,SPYI,1.0
SPY,XYLD,1.0
SPY,XYLG,1.0
TER,TERG,2.0
TSLA,TSLL,2.0
TSLA,TSLO,2.0
TSLA,TSLY,1.0
TSM,TSMX,2.0
TSM,TSMY,1.0
UNH,UNHG,2.0
UPS,UPSG,2.0
VALE,VALG,2.0
XOM,XOMO,1.0
XOM,XOMX,2.0
XRP,XXRP,2.0
XYZ,XYZG,2.0
XYZ,XYZY,1.0
